gene	regres. slope	regres. Y Int	regres. R value	Half-Life Calc (minutes)	# of data pts. After cuttoff	# of leading data points affected by lag calc	ln adjusted value of last data point used in regres.	In Operon (y or n)	Operon #	complex or simple	Total # of data points	R value flag	Half-life Flag	0	1	2	4	8	15
CCNA_00001	-1.404646660202813	5.176435677193294	-0.9995520289765831	0.4934672898164039	3	-1	2.3811294284843956	y	1	complex	3	x	x	4.605170185988092	3.7335195024856236	2.3811294284843956	x	x	x
CCNA_00002	-0.3531511667943749	4.87408631503027	-0.9903134451141158	1.9627492296055071	3	-1	4.158651115055344	y	1	complex	3	x	x	4.605170185988092	4.558655289195452	4.158651115055344	x	x	x
CCNA_00003	x	x	x	x	3	0	4.41290389085789	y	1	complex	3	x	x	4.605170185988092	4.319558587694551	4.41290389085789	x	x	x
CCNA_00004	-0.18943326690274823	5.178679599327561	-0.8854530033529826	3.659057312862556	5	-2	3.6539926981671416	y	1	complex	5	x	x	4.605170185988092	4.6297400127330555	5.203756249675484	4.339893776038843	3.6539926981671416	x
CCNA_00005	x	x	x	x	3	0	2.499252763310285	y	1	complex	3	x	x	4.605170185988092	2.9965474160995687	2.499252763310285	x	x	x
CCNA_00006	-0.17159206117426012	4.495584112286453	-0.9551770502352851	4.039506115938665	6	-1	2.14668386291059	n	2	simple	6	x	x	4.605170185988092	4.170243683715687	4.237678078609005	4.020384816939477	2.5859770134583924	2.14668386291059
CCNA_00007	-0.7739276621589706	4.683290101186811	-0.9901973536018989	0.8956226976385909	4	-1	1.5195223931926107	n	3	complex	4	x	x	4.605170185988092	3.712326778469566	3.3677151153679055	1.5195223931926107	x	x
CCNA_00008	-0.8530821455389749	5.014444232930582	-0.9931215306201463	0.8125210264739708	4	-1	1.6493518066676958	n	4	simple	5	x	x	4.605170185988092	4.011284667387684	3.222958678012818	1.6493518066676958	0.32962191290734516	x
CCNA_00010	-0.4005685021208246	5.028959833224489	-0.9703310082977963	1.730408599003796	5	-1	1.6263282400973356	y	6	complex	6	x	x	4.605170185988092	4.293263395945989	4.433800007757925	3.8180395671653446	1.6263282400973356	0.3368983344332146
CCNA_00011	-0.8435042834564346	6.190409961078021	-0.9164308004616352	0.8217470784139118	4	-2	2.7028468274509434	y	6	complex	4	x	x	4.605170185988092	4.451696786293448	5.042278040110435	2.7028468274509434	x	x
CCNA_00012	-0.12874603149779765	4.310200299508578	-0.8589552840382509	5.383833369433235	6	-2	2.62164647824854	y	7	complex	6	x	x	4.605170185988092	4.450222686485629	4.343219358934225	3.1557114410326714	3.0186896630923807	2.62164647824854
CCNA_00013	x	x	x	x	4	0	3.3019061091903605	y	7	complex	4	x	x	4.605170185988092	4.351335941489387	4.57233631371044	3.3019061091903605	x	x
CCNA_00019	x	x	x	x	0	0	1	n	9	simple	0	x	x	x	x	x	x	x	x
CCNA_00023	x	x	x	x	1	0	4.605170185988092	y	12	simple	1	x	x	4.605170185988092	x	x	x	x	x
CCNA_00024	x	x	x	x	2	0	4.121303089080788	y	12	simple	2	x	x	4.605170185988092	4.121303089080788	x	x	x	x
CCNA_00029	-0.4618179169542032	4.550707275068158	-0.7988540242326699	1.500910110052491	3	-1	3.7642358431373792	y	15	simple	3	x	x	4.605170185988092	3.7509560935642368	3.7642358431373792	x	x	x
CCNA_00030	x	x	x	x	2	0	4.045226673180837	y	15	simple	2	x	x	4.605170185988092	4.045226673180837	x	x	x	x
