gene	regres. slope	regres. Y Int	regres. R value	Half-Life Calc (minutes)	# of data pts. After cuttoff	# of leading data points affected by lag calc	ln adjusted value of last data point used in regres.	In Operon (y or n)	Operon #	complex or simple	Total # of data points	R value flag	Half-life Flag	0	1	2	4	8	15
CCNA_00001	x	x	x	x	2	0	3.7632708815169207	y	1	complex	2	x	x	4.605170185988092	3.7632708815169207	x	x	x	x
CCNA_00002	x	x	x	x	2	0	4.531951022108883	y	1	complex	2	x	x	4.605170185988092	4.531951022108883	x	x	x	x
CCNA_00003	x	x	x	x	3	0	4.1252275681479	y	1	complex	3	x	x	4.605170185988092	4.591324030801032	4.1252275681479	x	x	x
CCNA_00004	x	x	x	x	3	0	4.813108498968343	y	1	complex	3	x	x	4.605170185988092	4.7584141630528904	4.813108498968343	x	x	x
CCNA_00005	x	x	x	x	3	0	2.7920104394080774	y	1	complex	3	x	x	4.605170185988092	2.9803374051150686	2.7920104394080774	x	x	x
CCNA_00006	-0.17546624745599682	4.280401983003248	-0.9528202599809364	3.9503163178649032	6	-1	1.8682395474620572	n	2	simple	6	x	x	4.605170185988092	4.197840061673398	3.917544113184575	3.080605301435695	2.688074308286802	1.8682395474620572
CCNA_00007	-0.917099582581426	4.653500484627568	-0.9974986757375706	0.7558036157958923	4	-1	1.05884594145694	n	3	complex	4	x	x	4.605170185988092	3.7295555746955174	2.6692790600733214	1.05884594145694	x	x
CCNA_00008	-1.4148361096830662	5.57612611437882	-0.9997036184868057	0.4899134082146203	3	-1	2.7524150448147324	n	4	simple	5	x	x	4.605170185988092	4.135436664115037	2.7524150448147324	0.7543348388499719	0.24869885762602403	x
CCNA_00010	-0.4468676118198319	4.835138517777683	-0.9951684052869437	1.551124230590711	5	-1	1.2526159923367868	y	6	complex	5	x	x	4.605170185988092	4.3105483545277545	3.777169506276766	3.1259321900165578	1.2526159923367868	x
CCNA_00011	-1.0969405784636495	6.284210320064202	-0.9958598751882031	0.6318912748498663	4	-2	1.8655826609156991	y	6	complex	4	x	x	4.605170185988092	4.515606108245269	4.2368126480419015	1.8655826609156991	x	x
CCNA_00012	-0.10434383839923116	4.153449664766908	-0.8258082386133573	6.642914341600957	6	-2	2.7656365807493453	y	7	complex	6	x	x	4.605170185988092	4.515484805157146	3.930130597075749	3.165256855857828	3.1980293130366304	2.7656365807493453
CCNA_00013	-0.5138429941825037	5.276019579745421	-0.9643662491690492	1.348947418583968	5	-3	1.296153680534409	y	7	complex	5	x	x	4.605170185988092	4.414569720772238	4.097721361190179	2.7642104764056428	1.296153680534409	x
