gene	regres. slope	regres. Y Int	regres. R value	Half-Life Calc (minutes)	# of data pts. After cuttoff	# of leading data points affected by lag calc	ln adjusted value of last data point used in regres.	In Operon (y or n)	Operon #	complex or simple	Total # of data points	R value flag	Half-life Flag	0	0.5	1	1.5	2	2.5	3	3.5	4	4.5	5	5.5	6	6.5	7	7.5	8	8.5	9	9.5
CCNA_00001	x	x	x	x	1	0	4.60517018598809	n	1	simple	20	x	x	4.60517018598809	-2.32630161961136	-9.25777342521108	-16.1892452308103	-23.1207170364097	-30.0521888420092	-36.9836606476086	-43.9151324532081	-50.8466042588075	-57.778076064407	-64.7095478700065	-71.6410196756059	-78.5724914812054	-85.5039632868048	-92.4354350924043	-99.3669068980037	-106.298378703603	-113.229850509203	-120.161322314802	-127.092794120402
CCNA_00002	x	x	x	x	2	0	2.29467958412161	n	1	simple	20	x	x	4.60517018598809	2.29467958412161	-0.015811017744877	-2.32630161961136	-4.63679222147784	-6.9472828233443	-9.25777342521108	-11.5682640270773	-13.8787546289438	-16.1892452308103	-18.4997358326768	-20.8102264345432	-23.1207170364097	-25.4312076382762	-27.7416982401427	-30.0521888420092	-32.3626794438757	-34.6731700457421	-36.9836606476086	-39.2941512494751
CCNA_00003	-2.77258872223978	4.60517018598809	-1	0.25	3	0	1.83258146374831	n	1	simple	20	x	x	4.60517018598809	3.2188758248682	1.83258146374831	0.44628710262842	-0.940007258491471	-2.32630161961136	-3.71259598073125	-5.09889034185114	-6.48518470297103	-7.87147906409092	-9.25777342521108	-10.6440677863289	-12.0303621474506	-13.4166565085705	-14.8029508696904	-16.1892452308103	-17.5755395919302	-18.96183395305	-20.3481283141699	-21.7344226752898
CCNA_00004	-1.98042051588556	4.60517018598809	-1	0.35	4	0	1.63453941215976	n	1	simple	20	x	x	4.60517018598809	3.61495992804531	2.62474967010254	1.63453941215976	0.644329154216974	-0.345881103725804	-1.33609136166858	-2.32630161961136	-3.31651187755414	-4.30672213549692	-5.29693239343969	-6.2871426513825	-7.27735290932522	-8.26756316726819	-9.25777342521108	-10.2479836831538	-11.2381939410927	-12.2284041990392	-13.2186144569819	-14.2088247149247
CCNA_00005	-1.54032706791099	4.60517018598809	-1	0.45	5	0	1.52451605016611	n	1	simple	20	x	x	4.60517018598809	3.8350066520326	3.0648431180771	2.29467958412161	1.52451605016611	0.754352516210616	-0.015811017744876	-0.785974551700371	-1.55613808565586	-2.32630161961136	-3.09646515356686	-3.86662868752235	-4.63679222147784	-5.40695575543334	-6.17711928938884	-6.9472828233443	-7.71744635729986	-8.48760989125535	-9.25777342521108	-10.0279369591668
CCNA_00006	-1.26026760101808	4.60517018598809	-1	0.55	6	0	1.45450118344289	n	2	simple	20	x	x	4.60517018598809	3.97503638547905	3.34490258497001	2.71476878446097	2.08463498395193	1.45450118344289	0.824367382933845	0.194233582424802	-0.435900218084237	-1.06603401859328	-1.69616781910232	-2.32630161961136	-2.9564354201204	-3.58656922062944	-4.21670302113849	-4.84683682164753	-5.47697062215657	-6.10710442266558	-6.73723822317462	-7.36737202368376
CCNA_00007	-1.06638027778453	4.60517018598809	-1	0.65	7	0	1.4060293526345	n	3	simple	20	x	x	4.60517018598809	4.07198004709583	3.53878990820356	3.00559976931129	2.47240963041903	1.93921949152676	1.4060293526345	0.872839213742232	0.339649074849971	-0.193541064042299	-0.726731202934564	-1.25992134182683	-1.7931114807191	-2.32630161961136	-2.85949175850363	-3.39268189739589	-3.92587203628816	-4.45906217518042	-4.99225231407269	-5.52544245296494
CCNA_00008	-0.924196240746594	4.60517018598809	-1	0.75	8	0	1.37048334337501	n	4	simple	20	x	x	4.60517018598809	4.1430720656148	3.6809739452415	3.2188758248682	2.7567777044949	2.29467958412161	1.83258146374831	1.37048334337501	0.908385223001716	0.44628710262842	-0.015811017744877	-0.477909138118174	-0.940007258491471	-1.40210537886477	-1.86420349923807	-2.32630161961136	-2.78839973998466	-3.25049786035795	-3.71259598073125	-4.17469410110455
CCNA_00009	-0.815467271246995	4.60517018598809	-1	0.85	9	0	1.34330110100011	n	5	simple	20	x	x	4.60517018598809	4.19743655036459	3.7897029147411	3.3819692791176	2.9742356434941	2.56650200787061	2.15876837224711	1.75103473662361	1.34330110100011	0.935567465376615	0.527833829753117	0.120100194129619	-0.287633441493876	-0.695367077117372	-1.10310071274087	-1.51083434836437	-1.91856798398787	-2.32630161961136	-2.73403525523486	-3.14176889085836
CCNA_00010	-0.729628611115732	4.60517018598809	-1	0.95	10	0	1.3218414359673	n	6	simple	20	x	x	4.60517018598809	4.24035588043023	3.87554157487236	3.51072726931449	3.14591296375663	2.78109865819876	2.4162843526409	2.05147004708303	1.68665574152516	1.3218414359673	0.957027130409431	0.592212824851566	0.227398519293697	-0.137415786264166	-0.502230091822033	-0.867044397379897	-1.23185870293776	-1.59667300849563	-1.9614873140535	-2.32630161961136
CCNA_00011	-0.660140171961853	4.60517018598809	-1	1.05	11	0	1.30446932617883	n	6	simple	20	x	x	4.60517018598809	4.27510010000717	3.94503001402624	3.61495992804531	3.28488984206439	2.95481975608346	2.62474967010254	2.29467958412161	1.96460949814068	1.63453941215976	1.30446932617883	0.974399240197903	0.644329154216974	0.314259068236051	-0.015811017744876	-0.345881103725802	-0.67595118970673	-1.00602127568765	-1.33609136166858	-1.66616144764951
CCNA_00012	-0.602736678747779	4.60517018598809	-1	1.15	12	0	1.29011845287531	n	7	simple	20	x	x	4.60517018598809	4.3038018466142	4.00243350724031	3.70106516786642	3.39969682849254	3.09832848911864	2.79696014974476	2.49559181037087	2.19422347099698	1.89285513162309	1.5914867922492	1.29011845287531	0.988750113501422	0.687381774127532	0.38601343475364	0.084645095379753	-0.216723243994137	-0.518091583368026	-0.819459922741917	-1.1208282621158
CCNA_00013	-0.554517744447956	4.60517018598809	-1	1.25	14	0	1.00080484707638	n	7	simple	20	x	x	4.60517018598809	4.32791131376411	4.05065244154014	3.77339356931616	3.49613469709218	3.2188758248682	2.94161695264422	2.66435808042024	2.38709920819627	2.10984033597229	1.83258146374831	1.55532259152433	1.27806371930035	1.00080484707638	0.723545974852399	0.44628710262842	0.169028230404443	-0.108230641819536	-0.385489514043515	-0.662748386267492
CCNA_00014	-0.51344235597033	4.60517018598809	-1	1.35	15	0	1.01107369419578	n	8	simple	20	x	x	4.60517018598809	4.34844900800293	4.09172783001776	3.8350066520326	3.57828547404743	3.32156429606227	3.0648431180771	2.80812194009194	2.55140076210677	2.29467958412161	2.03795840613644	1.78123722815128	1.52451605016611	1.26779487218095	1.01107369419578	0.754352516210616	0.497631338225454	0.240910160240288	-0.015811017744876	-0.272532195730041
CCNA_00015	-0.478032538317204	4.60517018598809	-1	1.45	16	0	1.01992614860907	n	8	simple	20	x	x	4.60517018598809	4.36615391682949	4.12713764767089	3.88812137851229	3.64910510935368	3.41008884019508	3.17107257103648	2.93205630187788	2.69304003271928	2.45402376356067	2.21500749440207	1.97599122524347	1.73697495608487	1.49795868692627	1.25894241776767	1.01992614860907	0.780909879450464	0.54189361029186	0.302877341133256	0.063861071974659
CCNA_00016	-0.447191729393513	4.60517018598809	-1	1.55	17	0	1.02763635083999	n	8	simple	20	x	x	4.60517018598809	4.38157432129133	4.15797845659458	3.93438259189782	3.71078672720106	3.48719086250431	3.26359499780755	3.03999913311079	2.81640326841404	2.59280740371728	2.36921153902052	2.14561567432377	1.92201980962701	1.69842394493026	1.4748280802335	1.25123221553674	1.02763635083999	0.804040486143232	0.580444621446475	0.356848756749717
CCNA_00017	-0.420089200339361	4.60517018598809	-1	1.65	18	0	1.03441198310352	n	8	simple	20	x	x	4.60517018598809	4.39512558581841	4.18508098564873	3.97503638547905	3.76499178530937	3.55494718513969	3.34490258497001	3.13485798480033	2.92481338463065	2.71476878446097	2.50472418429129	2.29467958412161	2.08463498395193	1.87459038378225	1.66454578361257	1.45450118344289	1.24445658327321	1.03441198310352	0.824367382933845	0.614322782764165
CCNA_00018	-0.396084103177112	4.60517018598809	-1	1.75	19	0	1.04041325739409	n	8	simple	20	x	x	4.60517018598809	4.40712813439954	4.20908608281098	4.01104403122242	3.81300197963387	3.61495992804531	3.41691787645676	3.2188758248682	3.02083377327965	2.82279172169109	2.62474967010254	2.42670761851397	2.22866556692542	2.03062351533687	1.83258146374831	1.63453941215976	1.4364973605712	1.23845530898264	1.04041325739409	0.84237120580553
CCNA_00019	-0.374674151654024	4.60517018598809	-1	1.85	20	0	1.04576574527486	n	9	simple	20	x	x	4.60517018598809	4.41783311016108	4.23049603433407	4.04315895850705	3.85582188268004	3.66848480685303	3.48114773102602	3.29381065519901	3.10647357937199	2.91913650354498	2.73179942771797	2.54446235189095	2.35712527606394	2.16978820023693	1.98245112440992	1.79511404858291	1.6077769727559	1.42043989692888	1.23310282110187	1.04576574527486
CCNA_00020	-0.355460092594844	4.60517018598809	-1	1.95	20	0	1.22829930633708	n	10	simple	20	x	x	4.60517018598809	4.42744013969067	4.24971009339325	4.07198004709583	3.8942500007984	3.71651995450098	3.53878990820356	3.36105986190614	3.18332981560872	3.00559976931129	2.82786972301387	2.65013967671645	2.47240963041903	2.29467958412161	2.11694953782419	1.93921949152676	1.76148944522934	1.58375939893192	1.4060293526345	1.22829930633708
CCNA_03911	-0.3381205758829	4.60517018598809	-1	2.05	20	0	1.39302471510054	n	10	simple	20	x	x	4.60517018598809	4.43610989804664	4.26704961010519	4.09798932216374	3.92892903422229	3.75986874628084	3.59080845833939	3.42174817039794	3.25268788245649	3.08362759451504	2.91456730657359	2.74550701863214	2.57644673069069	2.40738644274924	2.23832615480779	2.06926586686634	1.90020557892489	1.73114529098344	1.56208500304199	1.39302471510054
CCNA_00021	-0.322394037469742	4.60517018598809	-1	2.15	20	0	1.54242683002554	n	11	simple	20	x	x	4.60517018598809	4.44397316725322	4.28277614851835	4.12157912978348	3.96038211104861	3.79918509231374	3.63798807357887	3.47679105484399	3.31559403610912	3.15439701737425	2.99319999863938	2.83200297990451	2.67080596116964	2.50960894243477	2.3484119236999	2.18721490496503	2.02601788623016	1.86482086749528	1.70362384876041	1.54242683002554
CCNA_00022	-0.308065413582198	4.60517018598809	-1	2.25	20	0	1.67854875695721	n	11	simple	20	x	x	4.60517018598809	4.45113747919699	4.29710477240589	4.1430720656148	3.9890393588237	3.8350066520326	3.6809739452415	3.5269412384504	3.3729085316593	3.2188758248682	3.0648431180771	2.910810411286	2.7567777044949	2.6027449977038	2.4487122909127	2.29467958412161	2.14064687733051	1.98661417053941	1.83258146374831	1.67854875695721
CCNA_00023	-0.294956247046785	4.60517018598809	-1	2.35	20	0	1.80308583904363	n	12	simple	20	x	x	4.60517018598809	4.4576920624647	4.31021393894131	4.16273581541791	4.01525769189452	3.86777956837113	3.72030144484774	3.57282332132434	3.42534519780095	3.27786707427756	3.13038895075416	2.98291082723077	2.83543270370738	2.68795458018399	2.5404764566606	2.3929983331372	2.24552020961381	2.09804208609042	1.95056396256703	1.80308583904363
CCNA_00024	-0.282917216555079	4.60517018598809	-1	2.45	20	0	1.91745662871483	n	12	simple	20	x	x	4.60517018598809	4.46371157771055	4.32225296943301	4.18079436115547	4.03933575287793	3.89787714460039	3.75641853632285	3.61495992804531	3.47350131976777	3.33204271149023	3.19058410321269	3.04912549493515	2.90766688665762	2.76620827838007	2.62474967010254	2.483291061825	2.34183245354745	2.20037384526991	2.05891523699237	1.91745662871483
CCNA_00025	-0.271822423748998	4.60517018598809	-1	2.55	20	0	2.02285716037261	n	13	simple	20	x	x	4.60517018598809	4.46925897411359	4.33334776223909	4.19743655036459	4.0615253384901	3.9256141266156	3.7897029147411	3.6537917028666	3.5178804909921	3.3819692791176	3.2460580672431	3.1101468553686	2.9742356434941	2.8383244316196	2.7024132197451	2.56650200787061	2.43059079599611	2.29467958412161	2.15876837224711	2.02285716037261
CCNA_00026	-0.261564973796206	4.60517018598809	-1	2.65	20	0	2.12030293492414	n	13	simple	20	x	x	4.60517018598809	4.47438769908999	4.34360521219189	4.21282272529378	4.08204023839568	3.95125775149758	3.82047526459947	3.68969277770137	3.55891029080327	3.42812780390517	3.29734531700706	3.16656283010896	3.03578034321086	2.90499785631275	2.77421536941465	2.64343288251655	2.51265039561845	2.38186790872035	2.25108542182224	2.12030293492414
CCNA_00027	-0.252053520203617	4.60517018598809	-1	2.75	20	0	2.21066174405373	n	14	simple	20	x	x	4.60517018598809	4.47914342588628	4.35311666578448	4.22708990568267	4.10106314558086	3.97503638547905	3.84900962537724	3.72298286527543	3.59695610517363	3.47092934507182	3.34490258497001	3.2188758248682	3.09284906476639	2.96682230466458	2.84079554456277	2.71476878446097	2.58874202435916	2.46271526425735	2.33668850415554	2.21066174405373
CCNA_00028	-0.243209537038577	4.60517018598809	-1	2.85	20	0	2.29467958412161	n	14	simple	20	x	x	4.60517018598809	4.4835654174688	4.36196064894951	4.24035588043023	4.11875111191094	3.99714634339165	3.87554157487236	3.75393680635307	3.63233203783378	3.51072726931449	3.3891225007952	3.26751773227592	3.14591296375663	3.02430819523734	2.90270342671805	2.78109865819876	2.65949388967947	2.53788912116018	2.4162843526409	2.29467958412161
CCNA_00029	-0.234965145952524	4.60517018598809	-1	2.95	20	0	2.37300129943911	n	15	simple	20	x	x	4.60517018598809	4.48768761301183	4.37020504003557	4.25272246705931	4.13523989408304	4.01775732110678	3.90027474813052	3.78279217515426	3.665309602178	3.54782702920173	3.43034445622547	3.31286188324921	3.19537931027295	3.07789673729669	2.96041416432042	2.84293159134417	2.7254490183679	2.60796644539164	2.49048387241538	2.37300129943911
CCNA_00030	-0.227261370675392	4.60517018598809	-1	3.05	20	0	2.44618716457187	n	15	simple	20	x	x	4.60517018598809	4.4915395006504	4.3779088153127	4.264278129975	4.15064744463731	4.03701675929961	3.92338607396191	3.80975538862422	3.69612470328652	3.58249401794883	3.46886333261113	3.35523264727344	3.24160196193574	3.12797127659804	3.01434059126035	2.90070990592265	2.78707922058495	2.67344853524726	2.55981784990957	2.44618716457187
CCNA_00031	-0.220046723987284	4.60517018598809	-1	3.15	20	0	2.51472630810889	n	16	simple	20	x	x	4.60517018598809	4.49514682399445	4.38512346200081	4.27510010000717	4.16507673801352	4.05505337601988	3.94503001402624	3.8350066520326	3.72498329003895	3.61495992804531	3.50493656605167	3.39491320405803	3.28488984206438	3.17486648007074	3.0648431180771	2.95481975608346	2.84479639408982	2.73477303209617	2.62474967010254	2.51472630810889
