operon_no.	start_gene	last_gene	start_position	last_position	strand	in_operon	P1	P2	P3	P4	TSS type	number of TSS	internal 	flag	non-coding	RNA
1	CCNA_00001	CCNA_00005	202	3903	+	y	122	x	x	x	TRUE	1	y	complex	0	x
2	CCNA_00006	CCNA_00006	4022	4810	+	n	4003	x	x	x	TRUE	1	n	simple	0	x
3	CCNA_00007	CCNA_00007	4960	5235	+	n	4902	4908	4918	x	TRUE	multiple	n	complex	0	x
4	CCNA_00008	CCNA_00008	5636	7108	+	n	5481	x	x	x	TRUE	1	n	simple	0	x
6	CCNA_00010	CCNA_00011	8165	11380	+	y	7974	8019	x	x	TRUE	multiple	n	complex	0	x
7	CCNA_00012	CCNA_00013	11467	17021	+	y	11464	x	x	x	POTENTIAL	1	n	complex	1	CCNA_R0096
9	CCNA_00019	CCNA_00019	19815	20447	+	n	19793	x	x	x	POTENTIAL	1	n	simple	0	x
12	CCNA_00023	CCNA_00024	23742	24981	+	y	23739	x	x	x	TRUE	1	n	simple	0	x
15	CCNA_00029	CCNA_00030	32914	34329	+	y	32810	x	x	x	TRUE	1	n	simple	0	x
20	CCNA_00045	CCNA_00045	49105	49638	+	n	49062	x	x	x	TRUE	1	n	simple	0	x
26	CCNA_00061	CCNA_00061	61885	63153	+	n	61859	x	x	x	POTENTIAL	1	n	simple	0	x
31	CCNA_00070	CCNA_00073	71977	76108	+	y	71945	x	x	x	TRUE	1	n	simple	0	x
34	CCNA_00080	CCNA_00080	84087	84728	+	n	83924	84058	x	x	POTENTIAL	multiple	n	simple	0	x
38	CCNA_00084	CCNA_00085	89053	91413	+	y	88951	x	x	x	TRUE	1	y	complex	0	x
41	CCNA_00088	CCNA_00088	97841	99385	+	n	97773	97818	x	x	TRUE	multiple	n	complex	0	x
48	CCNA_00096	CCNA_00097	107402	108792	+	y	107368	x	x	x	TRUE	1	n	simple	0	x
50	CCNA_00102	CCNA_00102	113151	113375	+	n	x	x	x	x	NO	0	n	simple	0	x
51	CCNA_00103	CCNA_00103	113463	115160	+	n	x	x	x	x	NO	0	n	simple	0	x
53	CCNA_00105	CCNA_00106	116088	118099	+	y	116055	x	x	x	TRUE	1	n	simple	0	x
56	CCNA_00111	CCNA_00112	120752	121892	+	y	120655	120723	x	x	TRUE	multiple	n	complex	0	x
58	CCNA_00113	CCNA_00114	121972	122852	+	y	121946	x	x	x	POTENTIAL	1	n	simple	0	x
59	CCNA_00115	CCNA_00115	122939	126268	+	n	122905	x	x	x	POTENTIAL	1	n	simple	0	x
61	CCNA_00117	CCNA_00120	127915	132953	+	y	127853	127859	x	x	TRUE	multiple	y	complex	0	x
64	CCNA_00123	CCNA_00123	133900	134682	+	n	133846	x	x	x	POTENTIAL	1	n	simple	0	x
66	CCNA_00127	CCNA_00127	136811	137011	+	n	136696	x	x	x	TRUE	1	n	simple	0	x
72	CCNA_00131	CCNA_00135	141119	145276	+	y	140974	x	x	x	TRUE	1	y	complex	0	x
75	CCNA_00138	CCNA_00138	148752	150944	+	n	148715	x	x	x	TRUE	1	y	complex	0	x
78	CCNA_00146	CCNA_00146	157593	158186	+	n	x	x	x	x	NO	0	n	simple	0	x
