operon_no.	locus_tag	start	end 	sense
1905	CCNA_03230	3395725	3397122	-
505	CCNA_00884	963806	964192	-
194	CCNA_00354	370445	371152	+
1700	CCNA_02922	3082319	3082462	-
797	CCNA_01382	1498487	1500238	+
465	CCNA_00826	886822	887742	-
661	CCNA_01128	1233054	1233356	+
2140	CCNA_03635	3789100	3789477	-
75	CCNA_00138	148752	150944	+
1197	CCNA_02102	2251005	2252048	+
1385	CCNA_02391	2535329	2536108	+
1161	CCNA_02043	2188693	2190144	-
730	CCNA_01251	1378419	1379177	+
1749	CCNA_02994	3146857	3150156	-
219	CCNA_00392	407848	409182	+
464	CCNA_00823	884441	885244	-
1648	CCNA_02839	2991299	2994175	-
345	CCNA_00622	666621	666806	+
1919	CCNA_03262	3430764	3431492	-
1141	CCNA_01975	2119875	2120900	+
2013	CCNA_03410	3577757	3578569	-
367	CCNA_00675	733100	733495	-
2230	CCNA_03782	3950191	3950805	+
341	CCNA_00614	655396	656883	-
1217	CCNA_02136	2292773	2294236	-
1276	CCNA_03963	2370612	2370800	-
1153.1	CCNA_02008	2155544	2156875	-
1372	CCNA_02369	2512016	2513830	-
996	CCNA_01725	1851328	1852758	+
653	CCNA_01118	1223264	1223593	+
341	CCNA_03924	659960	660031	-
1331	CCNA_02308	2453477	2454331	-
441	CCNA_00780	840760	841686	-
1228	CCNA_02156	2312039	2313451	-
1563	CCNA_02694	2848273	2849238	-
31	CCNA_00071	72950	73636	+
1147.1	CCNA_01997	2143739	2144305	-
364	CCNA_00669	725750	728206	-
2067	CCNA_03498	3656510	3656806	+
2219	CCNA_03765	3933616	3934179	-
1813	CCNA_03097	3248201	3249202	-
408	CCNA_00731	787361	789274	-
2048	CCNA_03468	3633141	3634934	+
1319	CCNA_02282	2432848	2433369	+
2086	CCNA_03534	3692947	3693894	+
1049	CCNA_01818	1944941	1945804	+
1106	CCNA_01915	2057922	2058662	+
973	CCNA_01676	1799591	1803712	+
1447	CCNA_02504	2653597	2654748	+
2144	CCNA_03639	3798508	3798828	-
