operon_no.	locus_tag	start	end	sense
1	CCNA_00001	202	1107	+
1	CCNA_00002	1104	1703	+
1	CCNA_00003	1700	2557	+
1	CCNA_00004	2559	3158	+
1	CCNA_00005	3190	3903	+
2	CCNA_00006	4022	4810	+
3	CCNA_00007	4960	5235	+
4	CCNA_00008	5636	7108	+
6	CCNA_00010	8165	10060	+
6	CCNA_00011	10223	11380	+
7	CCNA_00012	11467	14178	+
7	CCNA_00013	14199	17021	+
9	CCNA_00019	19815	20447	+
12	CCNA_00023	23742	24074	+
12	CCNA_00024	24091	24981	+
15	CCNA_00029	32914	33546	+
15	CCNA_00030	33595	34329	+
20	CCNA_00045	49105	49638	+
26	CCNA_00061	61885	63153	+
31	CCNA_00070	71977	72945	+
31	CCNA_00071	72950	73636	+
31	CCNA_00072	73680	74576	+
31	CCNA_00073	74573	76108	+
34	CCNA_00080	84087	84728	+
38	CCNA_00084	89053	90642	+
38	CCNA_00085	90655	91413	+
41	CCNA_00088	97841	99385	+
48	CCNA_00096	107402	108280	+
48	CCNA_00097	108334	108792	+
50	CCNA_00102	113151	113375	+
51	CCNA_00103	113463	115160	+
53	CCNA_00105	116088	116786	+
53	CCNA_00106	116834	118099	+
56	CCNA_00111	120752	121498	+
56	CCNA_00112	121503	121892	+
58	CCNA_00113	121972	122544	+
58	CCNA_00114	122547	122852	+
59	CCNA_00115	122939	126268	+
61	CCNA_00117	127915	129735	+
61	CCNA_00118	129746	131989	+
61	CCNA_00119	131977	132438	+
61	CCNA_00120	132435	132953	+
64	CCNA_00123	133900	134682	+
66	CCNA_00127	136811	137011	+
72	CCNA_00131	141119	141541	+
72	CCNA_00132	141633	142433	+
72	CCNA_00133	142680	143894	+
72	CCNA_00134	143989	144417	+
72	CCNA_00135	144443	145276	+
75	CCNA_00138	148752	150944	+
78	CCNA_00146	157593	158186	+
79	CCNA_00147	158354	158470	+
80	CCNA_00148	158546	159079	+
80	CCNA_00149	159096	159323	+
83	CCNA_00152	161320	162396	+
83	CCNA_00153	162409	163035	+
85	CCNA_00155	163413	164531	+
85	CCNA_00156	164664	164951	+
85.1	CCNA_00157	165022	165393	+
86	CCNA_00158	165621	166784	+
86	CCNA_00159	166781	169246	+
87	CCNA_00160	169387	170526	+
88	CCNA_00161	170951	171577	+
89	CCNA_00162	171649	172917	+
89	CCNA_00163	172964	175183	+
89	CCNA_00164	175173	177098	+
2366	CCNA_03915	177944	178090	+
92	CCNA_00167	179311	180120	+
92.1	CCNA_00168	180205	180801	+
93	CCNA_00169	181379	182917	+
94	CCNA_00170	182997	185663	+
95	CCNA_00171	185853	186290	+
95	CCNA_00172	186287	188350	+
95	CCNA_00173	188347	189822	+
95	CCNA_00174	189809	191020	+
95	CCNA_00175	191032	191484	+
95	CCNA_00176	191399	191956	+
95	CCNA_00177	191925	192308	+
95	CCNA_00178	192305	192895	+
95	CCNA_00179	192892	193866	+
95	CCNA_00180	193848	194954	+
95	CCNA_00181	194951	195427	+
95	CCNA_00182	195424	196140	+
99	CCNA_00189	203869	204135	+
99	CCNA_00190	204137	204571	+
99	CCNA_00191	204697	205173	+
104	CCNA_00199	212387	214267	+
106	CCNA_00201	215418	216098	+
107	CCNA_00202	216215	217270	+
107	CCNA_00203	217328	218332	+
109	CCNA_00206	220931	221641	+
109	CCNA_00207	221641	222282	+
112	CCNA_00210	225115	227526	+
112	CCNA_00211	227686	228693	+
112	CCNA_00212	228693	229571	+
112	CCNA_00213	229568	230116	+
113	CCNA_00214	230262	232307	+
114	CCNA_00215	232614	233402	+
116	CCNA_00217	233977	236127	+
118	CCNA_00220	237030	237635	+
120	CCNA_00222	238241	239860	+
120	CCNA_00223	239869	240651	+
122	CCNA_00225	243024	243056	+
123	CCNA_00226	243157	243432	+
125	CCNA_00229	244790	245764	+
127	CCNA_00231	247055	247540	+
129	CCNA_00233	248082	249119	+
129	CCNA_00234	249116	250276	+
131	CCNA_00237	252525	253232	+
131	CCNA_00238	253207	254811	+
131	CCNA_00239	254808	255242	+
131.1	CCNA_00240	255318	255725	+
131.1	CCNA_00241	255722	256000	+
133	CCNA_00244	256953	257594	+
133	CCNA_00245	257623	257907	+
133	CCNA_00246	257952	258737	+
136	CCNA_00249	260971	261561	+
136	CCNA_00250	261642	262904	+
136	CCNA_00251	262953	263672	+
138	CCNA_00253	265999	267027	+
139	CCNA_00254	267164	268066	+
145	CCNA_00261	273695	274738	+
146	CCNA_00262	274921	275793	+
149	CCNA_00265	278017	279471	+
2303	CCNA_00268	282130	283956	+
2303	CCNA_00269	284102	284431	+
2303	CCNA_00270	284558	285160	+
152	CCNA_00271	285270	285422	+
152	CCNA_00272	285476	286765	+
152	CCNA_00273	286774	287295	+
153	CCNA_00274	287636	287998	+
156	CCNA_00277	290161	291321	+
156	CCNA_00278	291339	292259	+
156	CCNA_00279	292311	292901	+
158	CCNA_00282	294659	294991	+
163	CCNA_00291	304469	305884	+
163.1	CCNA_00292	306029	307462	+
163.1	CCNA_00293	307455	308750	+
163.1	CCNA_00294	308810	309634	+
163.1	CCNA_00295	309660	310352	+
163.1	CCNA_00296	310374	311066	+
165	CCNA_00299	312678	313961	+
167	CCNA_00301	314615	315697	+
167	CCNA_00302	315702	316991	+
169	CCNA_00308	323024	323689	+
172	CCNA_00318	333179	334138	+
175	CCNA_00322	335959	336588	+
175	CCNA_00323	336631	337728	+
177	CCNA_00326	338634	339665	+
179	CCNA_00328	340575	341264	+
179	CCNA_00329	341277	341825	+
181	CCNA_00331	342674	343432	+
181	CCNA_00332	343435	344109	+
183	CCNA_00334	345020	345580	+
183	CCNA_00335	345618	346055	+
183	CCNA_00336	346066	347517	+
183	CCNA_00337	347595	348305	+
183	CCNA_00338	348479	350719	+
183.1	CCNA_00339	350788	352104	+
184	CCNA_00340	352434	353633	+
184	CCNA_00341	353634	354518	+
184	CCNA_00342	354697	357660	+
184	CCNA_00343	357720	358928	+
185	CCNA_00344	358988	359335	+
187	CCNA_00346	360419	361819	+
188	CCNA_00347	361909	362088	+
191	CCNA_00351	366112	368271	+
193	CCNA_00353	369280	370374	+
194	CCNA_00354	370445	371152	+
195	CCNA_00355	371323	372567	+
196	CCNA_00356	372638	373402	+
197	CCNA_00357	373511	374938	+
200	CCNA_00359	375919	376716	+
200	CCNA_00360	376916	377806	+
204	CCNA_00366	383009	383803	+
204	CCNA_00367	383800	384825	+
204	CCNA_00368	384831	385667	+
205	CCNA_00369	385817	387130	+
2368	CCNA_03918	387425	387559	+
207	CCNA_00375	390599	390988	+
207	CCNA_00376	391059	391838	+
210	CCNA_00381	397466	398515	+
213	CCNA_00384	400574	401479	+
213	CCNA_00385	401527	402861	+
215	CCNA_00387	403575	403997	+
218	CCNA_00390	405999	407213	+
218	CCNA_00391	407210	407767	+
219	CCNA_00392	407848	409182	+
221	CCNA_00395	411052	412842	+
223	CCNA_00397	413741	415279	+
225	CCNA_00399	416919	418016	+
225	CCNA_00400	418061	418504	+
225	CCNA_00401	418501	419271	+
225	CCNA_00402	419275	419691	+
225	CCNA_00403	419728	420699	+
225	CCNA_00404	420699	421214	+
225	CCNA_00405	421211	422068	+
227	CCNA_00407	422528	423007	+
229	CCNA_00409	424406	424450	+
229	CCNA_00410	424513	425043	+
229	CCNA_00411	425076	425639	+
229	CCNA_00412	425636	426286	+
229.1	CCNA_00413	426379	427632	+
229.1	CCNA_00414	427653	428354	+
232	CCNA_00419	430733	431269	+
234	CCNA_00423	433404	433874	+
235	CCNA_00424	434121	435560	+
237	CCNA_00426	436545	436889	+
238	CCNA_00427	436958	437146	+
238	CCNA_00428	437146	437328	+
238	CCNA_00429	437383	437550	+
240	CCNA_00431	437761	437883	+
242	CCNA_00433	438748	439005	+
242	CCNA_00434	439068	440003	+
243	CCNA_00435	440156	441607	+
243	CCNA_00436	441717	442865	+
244	CCNA_00437	443064	444677	+
246	CCNA_00439	445497	447518	+
246	CCNA_00440	447518	447805	+
246	CCNA_00441	447802	448167	+
246	CCNA_00442	448237	450525	+
246	CCNA_00443	450529	450996	+
246	CCNA_00444	450996	451877	+
246	CCNA_00445	451877	452911	+
246	CCNA_00446	452915	453304	+
246	CCNA_00447	453301	453864	+
246	CCNA_00448	453868	454251	+
246	CCNA_00449	454259	454861	+
246	CCNA_00450	454858	455328	+
249	CCNA_00451	455598	458639	+
251	CCNA_00455	461992	464661	+
2304	CCNA_00456	464819	467092	+
2304	CCNA_00457	467106	469664	+
2304	CCNA_00458	469661	471415	+
252	CCNA_00459	471542	472783	+
253	CCNA_00460	473245	473400	+
2369	CCNA_03921	474254	474409	+
2370	CCNA_03998	475532	476800	+
254	CCNA_00464	477514	477678	+
255	CCNA_00465	477921	479033	+
256	CCNA_00466	479191	480435	+
256	CCNA_00467	480439	481710	+
2394	CCNA_03922	483798	484859	+
264	CCNA_00479	495332	495655	+
266	CCNA_00481	497352	497597	+
266	CCNA_00482	497584	498855	+
269	CCNA_00486	502235	504724	+
270	CCNA_00487	504911	506605	+
272	CCNA_00490	507838	508722	+
274	CCNA_00492	509704	511095	+
274	CCNA_00493	511098	511559	+
274	CCNA_00494	511566	512027	+
274	CCNA_00495	512080	512334	+
274	CCNA_00496	512331	514298	+
274	CCNA_00497	514298	515224	+
277	CCNA_00502	518474	519211	+
278	CCNA_00503	519310	519732	+
280	CCNA_00505	520398	520949	+
280	CCNA_00506	520955	522235	+
280	CCNA_00507	522241	523086	+
2380	CCNA_03885	527284	527934	+
284	CCNA_00514	528078	528908	+
285	CCNA_00515	529324	531657	+
290	CCNA_00526	539769	540026	+
290.1	CCNA_00527	540157	540663	+
291	CCNA_00528	540844	541626	+
291	CCNA_00529	541695	542231	+
292	CCNA_00530	542581	543099	+
292	CCNA_00531	543145	543528	+
293	CCNA_00532	543952	544842	+
295	CCNA_00534	546314	547336	+
295	CCNA_00535	547379	547537	+
296	CCNA_00536	547831	551901	+
296	CCNA_00537	552015	556205	+
297	CCNA_00538	556424	558220	+
300	CCNA_00541	561036	561344	+
302	CCNA_00544	562579	563754	+
302	CCNA_00545	563825	564547	+
303	CCNA_00546	564671	565453	+
304	CCNA_00547	565748	565879	+
304	CCNA_00548	565904	566170	+
304	CCNA_00549	566164	567090	+
304	CCNA_00550	567006	568052	+
308	CCNA_00554	570238	571044	+
309	CCNA_00555	571117	571461	+
310	CCNA_00556	571546	573063	+
312	CCNA_00560	575815	576327	+
312	CCNA_00561	576324	576668	+
312	CCNA_00562	576665	577723	+
312	CCNA_00563	577720	578457	+
312	CCNA_00564	578467	579972	+
316	CCNA_00571	589132	591768	+
316	CCNA_00572	591765	593513	+
317	CCNA_00573	593829	596600	+
318	CCNA_00574	596740	599052	+
318	CCNA_00575	599049	600167	+
318	CCNA_00576	600176	601420	+
320	CCNA_00578	601496	604033	+
321	CCNA_00582	611200	611757	+
324	CCNA_00585	613324	614379	+
326	CCNA_00587	615934	617430	+
327	CCNA_00588	617604	617843	+
331	CCNA_00597	628523	631663	+
333	CCNA_03887	635047	635673	+
333	CCNA_00600	635661	636890	+
333	CCNA_00601	636877	637848	+
333	CCNA_00602	637845	639158	+
333	CCNA_00603	639155	640153	+
333	CCNA_00604	640131	641012	+
336	CCNA_00607	642577	645570	+
337	CCNA_00608	645702	647285	+
338	CCNA_00609	647369	648415	+
338	CCNA_00610	648428	651031	+
339	CCNA_00611	651343	652815	+
343	CCNA_00617	660731	661774	+
343	CCNA_00618	661761	663179	+
343	CCNA_00619	663176	664456	+
343	CCNA_00620	664466	665644	+
345	CCNA_00622	666621	666806	+
346	CCNA_00623	666944	669151	+
348	CCNA_00625	670498	670875	+
351	CCNA_00629	674363	676249	+
351	CCNA_00630	676286	678580	+
351	CCNA_00631	678577	679029	+
351	CCNA_00632	679026	679394	+
351	CCNA_00633	679391	680467	+
351	CCNA_00634	680464	681294	+
352	CCNA_00635	682056	683531	+
352	CCNA_00636	683537	684388	+
356	CCNA_00643	693356	693502	+
357	CCNA_00644	694013	695422	+
357	CCNA_00645	695435	696727	+
357	CCNA_00646	696739	697629	+
357	CCNA_00647	697642	698427	+
357	CCNA_00648	698432	699154	+
357	CCNA_00649	699198	700292	+
357	CCNA_00650	700527	701747	+
